Facility	Latitude	Longitude	Total On-site Disposal or Other Releases	Total Off-site Disposal or Other Releases	Total On- and Off-site Disposal or Other Releases
"ARCELORMITTAL USA LLC.3210 WATLING ST MAIL CODE (8-130), EAST CHICAGO INDIANA 46312 (LAKE)"	41.656	-87.45	"357,483.74"	"10,833,253.80"	"11,190,737.54"
"CF INDUSTRIES NITROGEN LLC.39018 HWY 3089, DONALDSONVILLE LOUISIANA 70346 (ASCENSION PARISH)"	30.099	-90.956	"11,154,894.00"	.	"11,154,894.00"
"CHEMOURS JOHNSONVILLE PLANT.1 DU PONT RD, NEW JOHNSONVILLE TENNESSEE 37134 (HUMPHREYS)"	36.043	-87.982	"10,997,249.54"	74.0000513	"10,997,323.54"
"CLEAN HARBORS BUTTONWILLOW LLC.2500 WEST LOKERN ROAD, BUTTONWILLOW CALIFORNIA 93206 (KERN)"	35.403	-119.616	"10,509,715.54"	"1,654.52"	"10,511,370.06"
"TRONOX LLC (PART).40036 TRONOX RD, HAMILTON MISSISSIPPI 39746 (MONROE)"	33.731	-88.453	"10,300,430.08"	0	"10,300,430.08"
"VICKERY ENVIRONMENTAL INC.3956 STATE RT 412, VICKERY OHIO 43464 (SANDUSKY)"	41.368	-82.983	"10,134,130.00"	"23,802.82"	"10,157,932.82"
"US ECOLOGY NEVADA INC.12 MILES S OF BEATTY ON HWY 95, BEATTY NEVADA 89003 (NYE)"	36.912	-116.754	"9,913,590.53"	"179,778.60"	"10,093,369.13"
"INEOS NITRILES USA LLC GREEN LAKE PLANT.TEXAS HWY 185, PORT LAVACA TEXAS 77979 (CALHOUN)"	28.571	-96.833	"9,791,432.60"	"13,480.00"	"9,804,912.60"
"ANGUS CHEMICAL CO.350 LOUISIANA HWY 2, STERLINGTON LOUISIANA 71280 (OUACHITA PARISH)"	32.693	-92.081	"9,453,173.00"	0	"9,453,173.00"
"SABIC INNOVATIVE PLASTICS MT VERNON LLC.1 LEXAN LN, MOUNT VERNON INDIANA 47620 (POSEY)"	37.907	-87.927	"1,504,515.25"	"7,944,263.00"	"9,448,778.25"
"POGO MINE.38 MILES NE OF DELTA JUNCTION, DELTA JUNCTION ALASKA 99737 (FAIRBANKS NORTH STAR BORO)"	64.447	-144.938	"9,281,139.20"	175	"9,281,314.20"
"NORTH AMERICAN STAINLESS.6870 US 42 E, GHENT KENTUCKY 41045 (CARROLL)"	38.728	-85.072	"3,485,311.02"	"5,633,253.16"	"9,118,564.18"
"TM DEER PARK SERVICES LP.2525 BATTLEGROUND RD, DEER PARK TEXAS 77536 (HARRIS)"	29.734	-95.09	"9,017,496.71"	"27,850.13"	"9,045,346.84"
"OUTOKUMPU STAINLESS USA LLC.1 THYSSENKRUPP DR, CALVERT ALABAMA 36513 (MOBILE)"	31.16	-87.985	"3,284,598.00"	"5,679,434.00"	"8,964,032.00"
